,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
25,ME,2005,58360,8.41,D,20.8,77,134.2,156.5,116.5,49.3,9,7.5,19.9,24.3,17.6,9.4,4.8,1.8,45.9,24.4,89.6,114.2,88.4,36.6,5.9,6.82,8.41,195.3,8.41,8.41
26,MI,2005,61031,6.82,D,32.4,103.3,152,182.1,132.6,59.4,12.9,11.2,32.3,38.5,30.2,18.1,9.9,2.9,56.5,32.2,91.4,124.1,93.9,40.4,8,6.82,6.82,195.3,6.82,6.82
27,MN,2005,72035,6.49,R,20.6,75.6,128.6,182.4,148.9,69.5,14.1,5.6,18.2,25.5,19.8,11.8,7,2.1,46.3,25.5,83.8,133.9,113.3,51.5,9.8,6.82,6.82,195.3,6.49,6.82
28,MO,2005,57115,6.82,R,30.9,109.6,159.1,168.6,117.4,51.4,10.9,5.6,19.5,24.4,18.5,11.7,7.1,2.5,73.5,41.7,110.2,123.5,87.1,36.4,6.8,6.82,6.82,195.3,6.82,6.82
29,MS,2005,43681,0,R,44.7,137.7,188.5,163.5,95.6,37.1,7.9,5.5,19.4,26.9,20.6,10.8,4.4,1.7,96.9,58.3,132.4,117.3,69.8,26.9,5.1,6.82,6.82,195.3,0,0
30,MS,2005,43681,0,R,44.7,137.7,188.5,163.5,95.6,37.1,7.9,5.5,19.4,26.9,20.6,10.8,4.4,1.7,96.9,58.3,132.4,117.3,69.8,26.9,5.1,6.82,6.82,195.3,0,0
31,MT,2005,49577,5.3,D,30.2,94.7,141.4,175.8,120.2,54.5,11.7,9.2,18.2,20.6,15.4,10.3,5.8,2,62.3,34.5,98.9,132.4,90.7,40.1,7.9,6.82,6.82,195.3,5.3,6.82
32,NC,2005,55879,6.82,R,40.4,122,171.9,166,123,56,11.5,8.8,25.4,34.3,25.1,14.4,7.5,2.3,78.5,47,111.8,115.4,89.3,39.8,7.5,6.82,6.82,195.3,6.82,6.82
33,ND,2005,56060,6.82,R,20.5,64.7,108.5,207.8,124.7,51.4,8,4.2,11.5,11.2,11.3,5.3,3.6,1.2,43.4,27,80.1,162.8,99,39.6,5.5,6.82,6.82,195.3,6.82,6.82
34,ND,2005,56060,6.82,R,20.5,64.7,108.5,207.8,124.7,51.4,8,4.2,11.5,11.2,11.3,5.3,3.6,1.2,43.4,27,80.1,162.8,99,39.6,5.5,6.82,6.82,195.3,6.82,6.82
35,NE,2005,63675,6.82,R,27,78.4,139.9,200.7,136.9,61.8,10.8,4.7,12,15.8,12.6,7.2,4.8,1.6,54.3,33.1,102.1,155.7,107.5,47.1,7.5,6.82,6.82,195.3,6.82,6.82
36,NH,2005,75714,6.82,D,15.1,60.8,107.6,160,142.9,61.4,12,6,17.9,24.8,20.2,10.7,6.5,2.1,34.3,18,66.9,114.8,109.2,45.2,8,6.82,6.82,195.3,6.82,6.82
