,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
102,OH,2006,59072,3.59,R,32.6,108.1,161.1,163.6,126.2,55.5,11,8.4,22.3,29.7,20.8,12.7,7.1,2.1,69.7,38.9,107,117.2,93.5,39.8,7.3,6.61,6.61,201.6,3.59,5.45
103,OK,2006,49983,2.57,D,41.5,132.3,185.3,172.9,104.9,46.5,9.2,5,15.4,20.4,14.4,9,5.5,1.7,96.1,56.6,135.7,130.8,79.1,33.7,6.1,6.61,6.61,201.6,2.57,6.61
104,OK,2006,49983,2.57,D,41.5,132.3,185.3,172.9,104.9,46.5,9.2,5,15.4,20.4,14.4,9,5.5,1.7,96.1,56.6,135.7,130.8,79.1,33.7,6.1,6.61,6.61,201.6,2.57,6.61
105,OR,2006,60605,9.62,D,32.6,101.7,154.3,165.6,130.1,63.6,14.7,10.6,26.1,32.2,23.4,14.4,8.9,3.2,60.9,34.5,99.1,116.5,95.2,44.9,9.3,6.61,9.62,201.6,9.62,9.62
106,PA,2006,62388,6.61,D,29,87.4,134.8,158.2,141.8,64.9,13.6,8.5,24.4,33.1,24.2,15.4,8.2,2.8,50.5,30.4,82,109.7,104,46.5,8.8,6.61,6.61,201.6,6.61,6.61
107,RI,2006,69157,8.66,R,33.1,79.2,123.2,149.2,139.8,69.9,15.7,10.7,29.9,40.4,31.5,16.9,10.1,3.8,38.6,27.5,65.6,95.4,100.9,49,9.6,6.61,8.66,201.6,8.66,8.66
108,SC,2006,50986,0,R,46,128,177.7,163.5,118.3,52.3,10.6,10.6,22.6,29.3,21.7,13.8,7.6,2.4,86,52,121.2,116.4,85.9,36.6,6.6,6.61,6.61,201.6,0,0
109,SD,2006,58463,6.61,R,25.8,90.7,151.2,209.5,138.3,56.7,10.7,3.2,8.7,13,8.7,5.6,3.4,1.1,67.6,38.7,114,166.6,110.1,44.1,7.9,6.61,6.61,201.6,6.61,6.61
110,TN,2006,52371,0,D,40,134.6,175.6,157.1,106.3,47.8,9,7,22.8,23,20.4,10.1,6.7,1.3,91.3,52.1,125.2,112.2,79.3,33.7,6.3,6.61,6.61,201.6,0,0
111,TX,2006,55735,6.61,R,51.1,152.4,195.7,178.8,131.4,62.8,13.8,7.9,26.5,33.3,23.5,14.3,8.1,2.6,102.7,61.6,132.6,127.4,96.4,45,9.1,6.61,6.61,201.6,6.61,6.61
112,US,2006,62033,,D,38.5,119.9,170.4,174.4,138.8,68.5,15.9,11.4,31.3,39.8,29.8,18.4,10.4,3.5,71.2,41.1,105.5,118,98.9,47.5,10,,,,,
113,UT,2006,70305,6.61,R,22.9,78.6,167.5,226.9,157,68.3,14.4,3.1,9.9,10.9,8.8,5.8,4.1,1.5,56.5,33.3,129.6,181,125.5,53.1,10.6,6.61,6.61,201.6,6.61,6.61
114,VA,2006,73510,6.61,D,29,104.5,158,170.1,141.9,72.6,16.3,8.3,29.5,39.9,30.7,18,10,3.2,60,34.2,95.1,113.6,101.7,51.4,10.6,6.61,6.61,201.6,6.61,6.61
115,VT,2006,66898,9.3,R,18.3,65.7,113.1,159.5,123.9,63.2,14.2,8,21.1,30.1,22.8,11.4,7.5,2.7,35.4,19.8,66.7,112,92.7,45.8,9.4,6.61,9.3,201.6,9.3,9.3
116,WA,2006,70427,9.79,D,31.4,106.6,155.2,164.3,136.4,69.7,16.9,11.9,32.4,37.2,25.6,15.3,9.8,3.5,59.1,32.2,95.2,113.5,99.7,49.1,10.9,6.61,9.79,201.6,9.79,9.79
117,WI,2006,66526,7.31,D,23.8,78.5,124.5,178.3,131.3,58,11.3,5,14.7,17.9,14.8,8.6,4.6,1.5,51.9,29.9,87.4,135,101.5,44.1,8,6.61,7.31,201.6,7.31,7.31
118,WV,2006,49444,6.61,D,29.9,107.4,149,152.2,89.2,37.7,7.2,4,12.7,16,13.6,8.1,4,1.2,77.8,44.2,109.6,114.4,66.9,27.8,5,6.61,6.61,201.6,6.61,6.61
119,WY,2006,60540,6.61,D,28.9,124.1,182.8,186.5,113,50.8,11.6,6.4,18.3,21.3,16.3,10.8,7,2.3,86.6,46,132.8,140.5,84.3,35.9,7.6,6.61,6.61,201.6,6.61,6.61
120,AK,2007,78834,8.92,R,29.4,134.1,193,185,133,64.6,17.3,9,23.7,26.8,19.7,12.3,7.8,2.8,90,42.9,136.3,136.1,99.6,46.6,11.8,6.42,8.92,207.342,8.92,8.92
121,AL,2007,52827,0,R,41.3,125.3,175.1,160.7,104.5,43.2,8.3,6.8,18.1,24.1,17.6,9.9,5,1.3,87.8,52.1,123.8,117.8,78,31.4,5.7,6.42,6.42,207.342,0,0
122,AR,2007,51054,7.8,D,43.2,143.5,195.6,158.1,99,42.1,8.8,6,15.8,19.2,13.5,9.1,5.8,1.8,105.1,60.1,145.4,119.3,74.1,29.8,5.6,6.42,7.8,207.342,7.8,7.8
123,AZ,2007,59089,8.42,D,48.4,148,195.5,178,142.5,65.9,16.9,7.5,25.4,29.1,18.9,12,7,3.5,100,59.6,136.2,131.1,107.8,48.5,10.8,6.42,8.42,207.342,8.42,8.42
124,CA,2007,69750,9.36,R,42.6,132.3,184.1,182,160.8,87.4,23.7,15.7,45,57,40.6,25.5,14.8,5.3,69,39.6,101.2,114.5,110.6,59.3,14.9,6.42,9.36,207.342,9.36,9.36
125,CO,2007,76517,8.55,D,38.1,115.6,154.7,160.7,137.3,72.3,16.8,9.9,28,31.4,20.3,12.1,7.3,3,70.6,41.6,100.2,115.3,103.3,53.5,11.3,6.42,8.55,207.342,8.55,8.55
126,CT,2007,80271,9.54,R,33.5,96.8,143.5,172.9,160.2,84.7,18.6,17.8,42.7,55.8,41.3,21.9,11.8,3.5,41.6,23,68.4,106.2,113.4,59.8,12.3,6.42,9.54,207.342,9.54,9.54
127,DC,2007,63554,,D,100,108.2,130.3,121.5,136.4,111.6,31.9,44.1,36.9,51.4,42.5,35.2,25.2,8.7,56.4,50.4,61.5,62.2,81.4,69.9,18.6,,,,,
128,DE,2007,68317,8.3,D,51,130.2,201.8,185.9,161.9,70.4,16,22.9,49.5,68.7,45.8,29.5,14.3,4.6,63.1,39.2,105.2,112.9,107.8,45.6,9.1,6.42,8.3,207.342,8.3,8.3
129,FL,2007,57310,8.32,R,42.8,133,184.1,176.8,139.3,68.2,16.4,14.4,39.7,49.8,37.3,23.2,12.7,4.2,74.4,43,107.8,113.1,94.9,45.1,9.8,6.42,8.32,207.342,8.32,8.32
130,GA,2007,60873,6.42,R,43.2,138.8,189.1,172.9,131.2,61.6,14.2,8.8,24.8,32.8,25.2,15.6,8.4,2.7,93,53.4,127.5,120.9,95,43.7,9.3,6.42,6.42,207.342,6.42,6.42
131,HI,2007,80122,9.04,R,42.5,131.4,178.6,165.4,150.5,84.4,23.1,18.8,39.9,43.1,28,18,10.4,4.4,72.9,38.7,109.3,112.2,108.9,60.8,15.2,6.42,9.04,207.342,9.04,9.04
132,IA,2007,61207,6.42,D,26.1,86.7,143.9,197.8,133.8,56.1,10.6,6.9,16.4,21.6,17.1,10.1,6.1,2.1,57.2,32.8,100.2,149.1,102.2,41.1,7,6.42,6.42,207.342,6.42,6.42
133,ID,2007,61553,6.42,R,28.7,103.5,190.4,201.8,132.1,58.7,13.7,5.8,16.5,17.8,12.5,7.7,5.1,2.2,71.1,39.9,142.4,156.7,103.1,44.2,9.4,6.42,6.42,207.342,6.42,6.42
134,IL,2007,65710,9.36,D,40,115.5,149.5,165.6,144.2,72.7,16.2,12.8,29.1,34.2,26.5,17.4,10,3.1,69.6,40.2,93.2,113.7,104.2,51.4,10.6,6.42,9.36,207.342,9.36,9.36
135,IL,2007,65710,9.36,D,40,115.5,149.5,165.6,144.2,72.7,16.2,12.8,29.1,34.2,26.5,17.4,10,3.1,69.6,40.2,93.2,113.7,104.2,51.4,10.6,6.42,9.36,207.342,9.36,9.36
136,IN,2007,59386,6.42,R,31.1,106.1,160.6,171.3,119.5,48,9.7,4.8,15,18.8,14.2,9.1,5,1.5,74.6,43,116.6,129.7,91.2,35.4,6.7,6.42,6.42,207.342,6.42,6.42
137,KS,2007,60693,3.31,D,31.4,105.2,160.5,189.4,133.6,58.5,12.1,5.4,14.8,19.6,15.3,9.4,5.4,1.9,74.1,42.5,115.8,143.8,102.7,43.8,8.4,6.42,6.42,207.342,3.31,3.31
138,KY,2007,49373,6.42,R,35.2,125.7,167.1,156.8,103.1,42.3,8.9,4.7,11.3,13.7,9.8,6.6,3.7,1.4,94.4,52.6,126.7,121.7,79.9,31.8,6.2,6.42,6.42,207.342,6.42,6.42
139,LA,2007,51702,0,D,41.9,135.3,188.7,163.3,111.3,47.4,9.7,7.1,20.5,28.2,18.9,11.6,6.1,1.9,94,55.2,131.4,118.7,82.1,33.9,6.3,6.42,6.42,207.342,0,0
140,LA,2007,51702,0,D,41.9,135.3,188.7,163.3,111.3,47.4,9.7,7.1,20.5,28.2,18.9,11.6,6.1,1.9,94,55.2,131.4,118.7,82.1,33.9,6.3,6.42,6.42,207.342,0,0
141,MA,2007,73165,9.36,D,25.5,75.4,107.9,141,159.3,86.1,20.6,10.4,31.2,37.3,28.8,18.3,11.2,4.2,34.3,21.4,55.7,91.1,116,61.5,13.3,6.42,9.36,207.342,9.36,9.36
142,MD,2007,82134,7.67,D,34.6,117.2,163.2,168.7,156.1,78.1,19.1,12.1,40.1,51.9,36.1,22.2,12,3.8,60.8,34.3,88.4,107.5,109.8,54.1,12.4,6.42,7.67,207.342,7.67,7.67
143,ME,2007,59938,8.42,D,19.1,84.4,141.1,158.4,114.7,50.3,10.3,7.4,19.6,27.2,18.9,10.5,5.4,1.9,52.4,26,92.7,114.7,86,36.9,6.9,6.42,8.42,207.342,8.42,8.42
144,MI,2007,61785,8.67,D,31.3,102.8,148.4,174.9,135.7,59,12.6,9.9,28.5,35.2,27.1,17.1,9.4,2.9,59.5,33.5,91.4,120.9,97.5,40.6,7.9,6.42,8.67,207.342,8.67,8.67
145,MN,2007,72658,6.55,R,22.5,81,132.7,182.7,153.7,68.9,14.2,5.8,18.8,25.6,19.1,11.7,7,2.2,50.2,27.9,87.2,134.8,117.3,51,9.8,6.42,6.55,207.342,6.55,7.67
146,MN,2007,72658,6.55,R,22.5,81,132.7,182.7,153.7,68.9,14.2,5.8,18.8,25.6,19.1,11.7,7,2.2,50.2,27.9,87.2,134.8,117.3,51,9.8,6.42,6.55,207.342,6.55,7.67
147,MO,2007,57574,8.11,R,32.6,117.2,167.1,170.1,119.9,51.2,10.6,6.5,20.6,26.3,18.6,10.7,6.5,2.1,78.8,44,115.1,124.7,90.1,36.7,6.9,6.42,8.11,207.342,8.11,8.11
148,MS,2007,46654,0,R,54.7,156.1,207.5,174.2,100.3,40.6,8.5,6.2,17,28.3,20.4,10.8,4.5,1.4,114.5,70.1,147,126.5,73.7,29.7,5.8,6.42,6.42,207.342,0,0
149,MT,2007,54633,4.99,D,27.2,98.6,153.1,175.9,128.3,57,12.2,6.8,19.1,23.5,15.9,9.5,6.1,2.1,64.6,35.3,106.1,132.1,98.3,41.9,8.2,6.42,6.42,207.342,4.99,7.67
150,NC,2007,54456,7.67,R,39.8,125.5,174.4,166.7,126.9,58,12.2,8.3,25.9,33.6,23.5,14.3,7.6,2.4,80.8,48,114.5,117.3,92.6,41.3,7.9,6.42,7.67,207.342,7.67,7.67
151,ND,2007,59076,6.42,R,22.5,66.9,114.7,199.6,128.4,51.1,9.7,4.6,9.3,12.4,10.4,5.8,3.6,1.2,47.2,29.2,84.2,156.8,101.7,39.3,7,6.42,6.42,207.342,6.42,6.42
152,ND,2007,59076,6.42,R,22.5,66.9,114.7,199.6,128.4,51.1,9.7,4.6,9.3,12.4,10.4,5.8,3.6,1.2,47.2,29.2,84.2,156.8,101.7,39.3,7,6.42,6.42,207.342,6.42,6.42
153,NE,2007,61540,6.42,R,25.4,84.6,143,193.5,138,61,11.2,3.6,9.7,13.4,10.2,6.5,4.2,1.1,61.6,35.5,106.9,151.9,109.1,47,8.4,6.42,6.42,207.342,6.42,6.42
154,NH,2007,84570,6.42,D,15.1,64.1,109.6,158.2,137.8,59.7,13.3,5.6,18.1,23.9,19.4,11.1,6.2,2.2,36.8,19.3,69.4,114,104.7,44.1,9.1,6.42,6.42,207.342,6.42,6.42
155,NJ,2007,75724,8.92,D,33,111.7,171,190.7,181.8,93.2,22.6,17,49.4,69.3,52,30.5,16.4,5.9,47.8,24.9,79,111.2,123.6,62.6,13.4,6.42,8.92,207.342,8.92,8.92
156,NM,2007,55511,6.42,D,56.5,163,205.4,173.7,122.3,59,13.8,12.5,30.3,38.3,24.4,14.7,8.8,3,108,63.9,136.1,122.4,88.5,41.1,8.8,6.42,6.42,207.342,6.42,6.42
157,NV,2007,67652,7.67,R,49.3,162.8,205.9,186.9,145,72.4,18.3,14.9,46,48.5,35.2,23.4,14.8,4.7,93.5,51.7,127.1,123.5,99.4,46.8,10.9,6.42,7.67,207.342,7.67,7.67
158,NY,2007,61252,8.92,D,42.9,117.2,166.5,175.8,164.2,90.2,24.5,24.8,56.9,66.5,51,33.7,19.3,6.8,45.5,26,77.7,99.7,106,57.5,14.2,6.42,8.92,207.342,8.92,8.92
159,OH,2007,61446,8.55,D,32.8,110.5,160.5,163.6,128.8,54.9,11.3,8.8,22,29.1,20.9,13,7,2.1,71.9,39.9,107,117.1,95.4,39.3,7.5,6.42,8.55,207.342,8.55,8.55
160,OK,2007,54084,2.5,D,42.2,137.3,186.7,171.6,106.7,46,9.8,5.7,15.1,20.2,14.2,9,5.4,1.8,100.6,58.5,137.1,130,80.7,33.4,6.6,6.42,6.42,207.342,2.5,6.42
161,OR,2007,62869,9.73,D,30.8,103.8,154.7,161.7,130.7,65.6,15.5,10.2,26.8,31.9,24,14.4,9.1,3.4,62,34.5,99.7,112.8,95.7,46.4,9.8,6.42,9.73,207.342,9.73,9.73
162,PA,2007,60618,7.8,D,29.7,90.3,137.9,162.1,143.9,65,13.9,9.2,26.5,34.9,25.7,16.3,9,2.8,51,30.7,82.9,111.5,105,45.9,9,6.42,7.8,207.342,7.8,7.8
163,RI,2007,67843,9.23,R,32.4,82.2,122.4,151.4,140.4,70.8,15.1,10.2,28.4,37.1,30.3,20.9,10.2,3.6,42.5,29.2,68,98.4,97.8,49.6,9.3,6.42,9.23,207.342,9.23,9.23
164,SC,2007,55332,0,R,45.1,127.9,174.4,164.1,119.3,52.3,10.8,11.5,21,28.5,22.6,13.2,7.8,2.4,87.3,51.9,119.2,116,87.3,36.4,6.8,6.42,6.42,207.342,0,0
165,SC,2007,55332,0,R,45.1,127.9,174.4,164.1,119.3,52.3,10.8,11.5,21,28.5,22.6,13.2,7.8,2.4,87.3,51.9,119.2,116,87.3,36.4,6.8,6.42,6.42,207.342,0,0
166,SC,2007,55332,0,R,45.1,127.9,174.4,164.1,119.3,52.3,10.8,11.5,21,28.5,22.6,13.2,7.8,2.4,87.3,51.9,119.2,116,87.3,36.4,6.8,6.42,6.42,207.342,0,0
167,SD,2007,58091,6.42,R,27.6,98.4,153.8,208.1,140.9,55.9,9.3,3.7,10.3,11.8,8.2,6.3,3.2,1.2,72.6,41.3,117.4,165.9,111.6,43.7,6.7,6.42,6.42,207.342,6.42,6.42
168,TN,2007,51555,0,D,38.8,134.6,180,158.1,110.6,46.3,9.4,6.5,19.3,25.3,18.8,11.4,5.6,1.6,94.5,53.4,126.8,114.5,81.7,33.4,6.4,6.42,6.42,207.342,0,0
169,TN,2007,51555,0,D,38.8,134.6,180,158.1,110.6,46.3,9.4,6.5,19.3,25.3,18.8,11.4,5.6,1.6,94.5,53.4,126.8,114.5,81.7,33.4,6.4,6.42,6.42,207.342,0,0
170,TN,2007,51555,0,D,38.8,134.6,180,158.1,110.6,46.3,9.4,6.5,19.3,25.3,18.8,11.4,5.6,1.6,94.5,53.4,126.8,114.5,81.7,33.4,6.4,6.42,6.42,207.342,0,0
171,TN,2007,51555,0,D,38.8,134.6,180,158.1,110.6,46.3,9.4,6.5,19.3,25.3,18.8,11.4,5.6,1.6,94.5,53.4,126.8,114.5,81.7,33.4,6.4,6.42,6.42,207.342,0,0
172,TX,2007,57634,6.42,R,51.2,151.2,194.4,177.4,132.5,63.1,14,7.9,25,32.2,22.4,13.7,8,2.5,103.1,61.8,132.5,127.3,97.9,45.3,9.4,6.42,6.42,207.342,6.42,6.42
173,TX,2007,57634,6.42,R,51.2,151.2,194.4,177.4,132.5,63.1,14,7.9,25,32.2,22.4,13.7,8,2.5,103.1,61.8,132.5,127.3,97.9,45.3,9.4,6.42,6.42,207.342,6.42,6.42
174,US,2007,62865,,R,38.1,119.2,168.8,173.2,140.4,68.3,16.1,11,30.2,38.5,28.6,17.9,10.2,3.5,71.7,41.5,105.4,118.1,100.6,47.6,10.2,,,,,
175,UT,2007,66990,6.42,R,25.3,81.6,168.8,223.7,159.6,68.7,15.8,2.9,10.6,11.3,8.7,6,4.2,1.8,58.3,35.4,130.3,178.5,127.4,53.4,11.5,6.42,6.42,207.342,6.42,6.42
176,VA,2007,74039,6.42,D,28.8,105,158,171.9,145.1,72.5,16.5,8.4,29.5,40.3,31.8,18.7,10.4,3.6,60.4,34.2,94.7,114.1,103.8,50.9,10.4,6.42,6.42,207.342,6.42,6.42
177,VT,2007,59308,9.39,R,18.8,65.8,117.1,160.8,122.2,60.2,12.7,7.9,19.2,29.7,21.7,12.4,7.1,2.6,37.2,21,70.4,114.2,90.5,43.6,8.1,6.42,9.39,207.342,9.39,9.39
178,WA,2007,72686,9.89,D,33.7,107.9,159,162.8,139.5,70,17,12.9,32.8,38.5,25.4,15.6,9.4,3.5,59.9,33.3,97.2,112.4,101.9,49.7,11,6.42,9.89,207.342,9.89,9.89
179,WI,2007,64172,8.11,D,24.2,79.6,124.5,172.9,133.9,57.6,11.5,5.1,12.7,17.5,13.5,7.6,4.9,1.5,54.6,31.1,87.7,131.7,104.5,43.6,8.1,6.42,8.11,207.342,8.11,8.11
180,WV,2007,52676,7.3,D,30.5,114.2,161.8,155.9,97.8,37.1,8.2,5.2,13.3,18.3,13.6,8.2,4.1,1,83,45.8,118.1,117.4,74,27.2,6,6.42,7.3,207.342,7.3,7.3
181,WY,2007,61002,6.42,D,33.2,130,178.9,179.4,117.3,51,10.9,6.4,18.5,20.5,15.1,10.2,6.3,2.3,91.3,49.9,130.3,135.7,88.4,36.7,7,6.42,6.42,207.342,6.42,6.42
182,WY,2007,61002,6.42,D,33.2,130,178.9,179.4,117.3,51,10.9,6.4,18.5,20.5,15.1,10.2,6.3,2.3,91.3,49.9,130.3,135.7,88.4,36.7,7,6.42,6.42,207.342,6.42,6.42
183,AK,2008,77119,8.59,R,32.7,128.4,197.6,188.3,135.6,66,18,9,24.2,27.2,19.2,10.8,7,2.7,84.9,44.2,139.7,139.3,103.1,48.5,12.6,7.03,8.59,215.303,8.59,8.59
184,AL,2008,53602,0,R,38.4,122.5,171.4,160.6,104.5,42.1,8.2,6.7,18,23.1,17.5,9.9,4.8,1.3,85.6,50.5,121.6,117.9,78,30.7,5.6,7.03,7.03,215.303,0,0
185,AR,2008,47708,7.51,D,43.4,139,186.9,156.3,101.1,39.9,8.8,6.2,15.1,18.9,13.9,9.7,5.1,1.8,102,59.8,138.4,117.5,75.4,28.6,5.6,7.03,7.51,215.303,7.51,7.51
186,AZ,2008,56540,8.29,D,47.1,133.9,187.3,175.8,139.2,66.7,15.6,8.3,25.7,33.1,20.7,12.7,8,2.9,88.1,54.5,125.7,127.6,104.4,48.2,10.4,7.03,8.29,215.303,8.29,8.29
187,CA,2008,68712,9.61,R,40.6,122.4,174.1,175.2,156.8,85.8,24.2,14.4,41.2,54.1,38.8,24.8,14.2,5,64.2,37.9,95.4,110.5,108,58.5,15.5,7.03,9.61,215.303,9.61,9.61
188,CO,2008,73448,8.43,D,36.6,110.6,151.3,154.8,136,70,16.6,9.1,26.4,31.3,19.2,11.8,7.5,2.7,67.9,40.5,97.4,111.4,102.5,51.4,11.4,7.03,8.43,215.303,8.43,8.43
189,CT,2008,77954,9.19,R,31.5,93.1,138.6,162.4,159.5,80.7,18.6,16.3,40.9,53.2,38.5,23.2,11.5,3.4,40.1,22.6,66.7,100,111.6,56.7,12.4,7.03,9.19,215.303,9.19,9.19
190,DC,2008,66996,,D,112.7,113,129.9,121.8,140,111.5,36.2,54.5,41.3,54.2,43.7,33.5,25.8,11.7,56.3,51.1,58.6,61.4,86,69.3,19.4,,,,,
191,DE,2008,61105,8.59,D,49.6,124.1,189.7,194.7,149.4,73.6,14.6,22.9,45.4,63.4,47.2,26,15.3,3.8,61.8,38.3,99.9,119,100.7,47.3,8.7,7.03,8.59,215.303,8.59,8.59
192,FL,2008,54061,8.16,R,39.5,122.3,174.4,171.3,136.5,66.9,16.7,13.6,36.9,48,36.2,23,12.4,4.1,68.1,40,101.4,109.5,92.7,44.4,10.2,7.03,8.16,215.303,8.16,8.16
193,GA,2008,55712,6.19,R,42.6,131.3,186.2,172.6,131.4,62.6,14.6,9.6,26.8,37.3,29.5,18.8,10.3,3.2,84.9,50,121,116.8,92.3,42.7,9.3,7.03,7.03,215.303,6.19,6.19
194,HI,2008,74144,8.71,R,38.3,137.4,176.3,163,153.2,86.9,24.8,16.4,44.3,43.3,25.2,17.8,11.5,4.6,73.9,38.9,107.2,112.7,111.3,61.8,16.5,7.03,8.71,215.303,8.71,8.71
195,IA,2008,60430,8.71,D,26.4,84.7,139,188.9,131.7,52.8,11.3,6,15.5,20.6,15.3,8.8,5.9,1.9,56.4,33.4,97,143.3,101.7,38.6,7.7,7.03,8.71,215.303,8.71,8.71
196,ID,2008,57150,7.03,R,27.8,98.3,183,198,135.1,56.1,12.6,4.1,14.4,16.7,10.5,7.8,4.3,1.7,68.7,39.6,137.2,155.4,105.4,42.8,8.9,7.03,7.03,215.303,7.03,7.03
197,IL,2008,64181,9.31,D,39.5,111.8,148.7,161.3,145.6,71.7,16.8,13.4,29.9,37.4,27.9,18,10.5,3.1,65.8,38.5,89.7,108.8,104.8,50.1,11.1,7.03,9.31,215.303,9.31,9.31
198,IL,2008,64181,9.31,D,39.5,111.8,148.7,161.3,145.6,71.7,16.8,13.4,29.9,37.4,27.9,18,10.5,3.1,65.8,38.5,89.7,108.8,104.8,50.1,11.1,7.03,9.31,215.303,9.31,9.31
199,IN,2008,56065,7.03,R,29.2,100.3,157.9,168.6,117.9,48.1,10.1,4.7,13.5,19.3,14,8.9,4.7,1.5,71.2,41.2,114,127.7,90.2,35.7,7,7.03,7.03,215.303,7.03,7.03
200,KS,2008,57701,3.18,D,31.6,107.8,160,181.8,134.2,55.6,11.7,5.3,14.5,19.7,14.8,9.5,5.2,1.6,76.5,44.1,115.3,137.9,103.1,41.6,8.3,7.03,7.03,215.303,3.18,3.18
201,KS,2008,57701,3.18,D,31.6,107.8,160,181.8,134.2,55.6,11.7,5.3,14.5,19.7,14.8,9.5,5.2,1.6,76.5,44.1,115.3,137.9,103.1,41.6,8.3,7.03,7.03,215.303,3.18,3.18
202,KY,2008,49591,7.03,D,34.4,124.2,165.4,151.7,103.9,41.7,8.9,4.2,11.2,15,10.7,6.9,3.6,1.3,93.3,52.5,124.1,116.6,80.3,31.4,6.2,7.03,7.03,215.303,7.03,7.03
203,LA,2008,47681,0,R,41.3,134.5,184.4,163.1,111.2,46.8,10,7.8,22.8,30.7,21.7,13.4,6.7,1.9,91.2,54,125.6,116.1,80.4,32.9,6.6,7.03,7.03,215.303,0,0
204,LA,2008,47681,0,R,41.3,134.5,184.4,163.1,111.2,46.8,10,7.8,22.8,30.7,21.7,13.4,6.7,1.9,91.2,54,125.6,116.1,80.4,32.9,6.6,7.03,7.03,215.303,0,0
205,LA,2008,47681,0,R,41.3,134.5,184.4,163.1,111.2,46.8,10,7.8,22.8,30.7,21.7,13.4,6.7,1.9,91.2,54,125.6,116.1,80.4,32.9,6.6,7.03,7.03,215.303,0,0
206,MA,2008,72697,9.61,D,22.2,68.8,106,136.3,158.4,86.8,21.5,8.8,27.9,37.2,28,18.2,10.8,4.1,31.8,19.8,54.2,87.9,115.4,62.4,14.1,7.03,9.61,215.303,9.61,9.61
207,MD,2008,76784,7.39,D,33.7,109.7,160.9,166.2,154.2,78.3,19.1,12.2,37.8,51.3,35.3,21.8,12,3.8,56.8,32.6,87,106.2,108.5,54.3,12.4,7.03,7.39,215.303,7.39,7.39
208,MD,2008,76784,7.39,D,33.7,109.7,160.9,166.2,154.2,78.3,19.1,12.2,37.8,51.3,35.3,21.8,12,3.8,56.8,32.6,87,106.2,108.5,54.3,12.4,7.03,7.39,215.303,7.39,7.39
209,MD,2008,76784,7.39,D,33.7,109.7,160.9,166.2,154.2,78.3,19.1,12.2,37.8,51.3,35.3,21.8,12,3.8,56.8,32.6,87,106.2,108.5,54.3,12.4,7.03,7.39,215.303,7.39,7.39
210,ME,2008,56918,8.41,D,19.5,78.3,136.5,152.2,114.2,49.6,9.1,6.8,19.4,26.6,18.4,10.2,6.2,1.5,47.5,25,89.3,110,85.9,35.7,6.2,7.03,8.41,215.303,8.41,8.41
211,MI,2008,60004,8.59,D,31.2,98.7,146.8,172.3,135.1,57.8,12.7,10.4,28.7,36.1,27.2,17.8,9.5,2.6,55.9,32.3,89.3,118.6,96.3,39.5,8.3,7.03,8.59,215.303,8.59,8.59
212,MN,2008,66195,6.31,R,20.7,75,126.6,175.3,151.7,67.9,14.9,5.2,16.5,23.6,17.9,10.9,6.6,2.5,47.3,26.5,83.9,129.7,116.4,50.5,10.1,7.03,7.03,215.303,6.31,7.39
213,MN,2008,66195,6.31,R,20.7,75,126.6,175.3,151.7,67.9,14.9,5.2,16.5,23.6,17.9,10.9,6.6,2.5,47.3,26.5,83.9,129.7,116.4,50.5,10.1,7.03,7.03,215.303,6.31,7.39
214,MO,2008,55484,7.99,R,32.1,112.2,162.1,167.3,120.5,50.9,11.2,5.9,19.3,26,18.8,10.9,6.5,2.2,75.9,43.5,111.3,122.2,90.4,36.5,7.3,7.03,7.99,215.303,7.99,7.99
215,MS,2008,43924,0,R,48.5,147.9,202.2,169.7,101.5,40.3,8.9,6.3,19.8,28.3,19.8,12.2,5.4,1.7,105.1,64,142.6,123.3,73.3,28.6,5.9,7.03,7.03,215.303,0,0
216,MS,2008,43924,0,R,48.5,147.9,202.2,169.7,101.5,40.3,8.9,6.3,19.8,28.3,19.8,12.2,5.4,1.7,105.1,64,142.6,123.3,73.3,28.6,5.9,7.03,7.03,215.303,0,0
217,MT,2008,51702,4.81,D,29.3,103.6,150.8,174.4,127,52.7,11.5,6.8,17.9,22.1,15.6,9.7,5.5,1.7,69.9,38.9,105.5,131.1,96.9,38.9,8,7.03,7.03,215.303,4.81,7.51
218,NC,2008,51739,7.39,R,39,119.5,167.7,162.9,125.8,56.2,12.4,7.8,23.3,31.6,22.6,13.5,7.4,1.9,78.2,47.3,110.8,115,92.4,40,8.5,7.03,7.39,215.303,7.39,7.39
219,ND,2008,59815,7.03,R,20.7,68.3,116.7,192.3,130.5,54.3,11.3,3.7,12.5,13.6,10.8,6.2,4.2,1.6,45.4,28.3,84.8,150.4,103.1,41.5,8,7.03,7.03,215.303,7.03,7.03
